spec,job,final_loss,top1,top5,best_probe_epoch,aggregator,autostop,batch_size,bstat_n_points,bstat_num_slices,bstat_t_max,drop_path_rate,n_global_views,n_views,patch_mask_ratio,predictor,projector_arch,sigreg_target
aggregation,job0_33f5264d,1.0781636238098145,0.5946,0.9242,72,cls,False,512,17,1024,3.0,0.1,2,8,0.3,none,MLP,proj
aggregation,job1_ec353004,1.1741995811462402,0.5583,0.9135,75,mean,False,512,17,1024,3.0,0.1,2,8,0.3,none,MLP,proj
aggregation,job2_8b276cab,1.101622223854065,0.5932,0.9282,81,cls_mean,False,512,17,1024,3.0,0.1,2,8,0.3,none,MLP,proj
drop_path,job0_35042382,1.0457388162612915,0.6165,0.9294,81,cls,False,512,17,1024,3.0,0.0,2,8,0.3,none,MLP,proj
drop_path,job1_a0a3b40f,1.064054012298584,0.6048,0.9282,84,cls,False,512,17,1024,3.0,0.05,2,8,0.3,none,MLP,proj
drop_path,job2_0cfdda05,1.0781636238098145,0.5946,0.9242,72,cls,False,512,17,1024,3.0,0.1,2,8,0.3,none,MLP,proj
drop_path,job3_360b144e,1.1306657791137695,0.5975,0.9299,79,cls,False,512,17,1024,3.0,0.2,2,8,0.3,none,MLP,proj
drop_path,job4_56a4adcf,1.0515323877334595,0.5818,0.9212,82,cls,False,512,17,1024,3.0,0.4,2,8,0.3,none,MLP,proj
epps,job0_0cfdda05,1.0781636238098145,0.5946,0.9242,72,cls,False,512,17,1024,3.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_18b3a08d,1.5102405548095703,0.5757,0.9197,82,cls,False,512,5,512,5.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_1e740799,0.3171326518058777,0.6949,0.9528,53,cls,False,512,17,4096,1.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_3c53766f,1.5143424272537231,0.5509,0.9134,81,cls,False,512,41,512,5.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_40d9f9ff,0.6024459004402161,0.5952,0.9268,90,cls,False,512,17,512,1.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_4b84f368,1.340806007385254,0.5487,0.9156,85,cls,False,512,17,512,5.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_4d76e4a3,1.2492550611495972,0.5565,0.9158,90,cls,False,512,5,512,3.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_4e3ee665,1.3968839645385742,0.5816,0.9151,70,cls,False,512,5,1024,5.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_53caaec0,1.4340890645980835,0.5541,0.9138,81,cls,False,512,17,512,3.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_54dcc9b8,1.0879348516464233,0.5922,0.9254,90,cls,False,512,17,1024,5.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_88e458c5,0.4769870340824127,0.6393,0.9373,93,cls,False,512,17,1024,1.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_8b50f8cb,0.3194039762020111,0.7007,0.9559,39,cls,False,512,5,4096,1.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_99fcfb6e,1.0271281003952026,0.6333,0.9366,77,cls,False,512,5,4096,5.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_9a944b63,0.6392454504966736,0.5928,0.9254,87,cls,False,512,5,512,1.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_9de75b89,0.31462204456329346,0.6925,0.9496,53,cls,False,512,41,4096,1.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_9e09a88f,1.0551542043685913,0.5996,0.9268,91,cls,False,512,41,1024,3.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_a0621304,0.7655574083328247,0.6707,0.9494,78,cls,False,512,5,4096,3.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_a45eabff,0.4604279398918152,0.632,0.9367,83,cls,False,512,41,1024,1.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_b17bd10b,0.7654335498809814,0.6685,0.9476,87,cls,False,512,17,4096,5.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_c340825f,1.4232734441757202,0.5606,0.9193,81,cls,False,512,41,512,3.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_c5624a17,0.7571192979812622,0.67,0.9498,77,cls,False,512,41,4096,3.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_c8a524c0,1.096981406211853,0.6078,0.9295,81,cls,False,512,5,1024,3.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_c96927ae,0.7765318155288696,0.6729,0.9478,79,cls,False,512,17,4096,3.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_d53c9cf3,0.7459871768951416,0.6676,0.9453,90,cls,False,512,41,4096,5.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_dcc52e36,0.49362170696258545,0.638,0.9424,87,cls,False,512,5,1024,1.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_e8990eb3,1.054168939590454,0.5919,0.9308,69,cls,False,512,41,1024,5.0,0.1,2,8,0.3,none,MLP,proj
epps,job0_e9d492e1,0.6166229248046875,0.6062,0.9285,92,cls,False,512,41,512,1.0,0.1,2,8,0.3,none,MLP,proj
patch_masking,job0_7977ca7f,1.0974452495574951,0.6108,0.9309,87,cls,False,512,17,1024,3.0,0.1,2,8,0.0,none,MLP,proj
patch_masking,job1_061fff1e,1.0918360948562622,0.5981,0.9277,78,cls,False,512,17,1024,3.0,0.1,2,8,0.1,none,MLP,proj
patch_masking,job2_759bb8af,1.1260812282562256,0.6016,0.931,77,cls,False,512,17,1024,3.0,0.1,2,8,0.2,none,MLP,proj
patch_masking,job3_0cfdda05,1.0781636238098145,0.5946,0.9242,72,cls,False,512,17,1024,3.0,0.1,2,8,0.3,none,MLP,proj
patch_masking,job4_fbf4bed9,1.0906052589416504,0.5941,0.9315,79,cls,False,512,17,1024,3.0,0.1,2,8,0.5,none,MLP,proj
patch_masking,job5_02c07ec9,1.1153678894042969,0.5927,0.9242,76,cls,False,512,17,1024,3.0,0.1,2,8,0.7,none,MLP,proj
predictor,job0_445e70a9,1.0781636238098145,0.5946,0.9242,72,cls,False,512,17,1024,3.0,0.1,2,8,0.3,none,MLP,proj
predictor,job1_92b63aec,0.8005963563919067,0.4386,0.8617,76,cls,False,512,17,1024,3.0,0.1,2,8,0.3,linear,MLP,proj
predictor,job2_3ffe1c6a,0.7842116951942444,0.4827,0.8891,83,cls,False,512,17,1024,3.0,0.1,2,8,0.3,mlp,MLP,proj
projector_depth,job0_680fa8d0,3.4166860580444336,0.2343,0.7186,85,cls,False,512,17,1024,3.0,0.1,2,8,0.3,none,Linear,proj
projector_depth,job1_268cd894,1.2559149265289307,0.5713,0.9177,70,cls,False,512,17,1024,3.0,0.1,2,8,0.3,none,MLP2,proj
projector_depth,job2_0cfdda05,1.0781636238098145,0.5946,0.9242,72,cls,False,512,17,1024,3.0,0.1,2,8,0.3,none,MLP,proj
projector_depth,job3_7191be53,1.0474610328674316,0.6126,0.9337,64,cls,False,512,17,1024,3.0,0.1,2,8,0.3,none,MLP4,proj
sigreg_target,job0_3d40bb14,1.0781636238098145,0.5946,0.9242,72,cls,False,512,17,1024,3.0,0.1,2,8,0.3,none,MLP,proj
sigreg_target,job1_48336510,2.0781285762786865,0.2371,0.7176,75,cls,False,512,17,1024,3.0,0.1,2,8,0.3,none,MLP,embed
sigreg_target,job2_738880bb,2.864290952682495,0.249,0.7252,54,cls,False,512,17,1024,3.0,0.1,2,8,0.3,none,MLP,both
views,job0_0e1cdd91,1.0935025215148926,0.5978,0.9286,77,cls,True,512,17,1000,3.0,0.1,2,8,0.3,none,MLP,proj
views,job0_145795c0,1.5412884950637817,0.5698,0.9245,87,cls,False,600,17,1000,3.0,0.1,1,10,0.3,none,MLP,proj
views,job0_369deebd,0.746572732925415,0.6566,0.9459,81,cls,False,384,17,1000,3.0,0.1,1,6,0.3,none,MLP,proj
views,job0_3ee4a50f,1.3941333293914795,0.5676,0.918,74,cls,True,600,17,1000,3.0,0.1,4,10,0.3,none,MLP,proj
views,job0_4e0fdb69,0.6526265144348145,0.5947,0.9263,78,cls,True,384,17,1000,3.0,0.1,4,6,0.3,none,MLP,proj
views,job0_573bf915,0.8356249332427979,0.6264,0.9377,87,cls,True,432,17,1000,3.0,0.1,2,6,0.3,none,MLP,proj
views,job0_d0c51f8a,1.0389108657836914,0.5845,0.9146,72,cls,True,512,17,1000,3.0,0.1,4,8,0.3,none,MLP,proj
views,job0_e209f7d4,0.3810332119464874,0.6966,0.9563,81,cls,True,256,17,1000,3.0,0.1,2,4,0.3,none,MLP,proj
