run,epoch,lp,knn,d_lp,d_knn
baseline,49,0.8103,0.8155,,
baseline,99,0.8517,0.8338,,
baseline,149,0.8566,0.845,,
baseline,199,0.8312,0.8275,,
idea3 coding-rate,49,0.1908,0.1536,-0.6195,-0.6619
idea3 coding-rate,99,0.1729,0.1559,-0.6788,-0.6778
idea3 coding-rate,149,0.1826,0.1507,-0.674,-0.6944
idea3 coding-rate,199,0.2523,0.1907,-0.5789,-0.6368
idea4 uniformity,49,0.8191,0.8237,0.0089,0.0082
idea4 uniformity,99,0.8655,0.8216,0.0138,-0.0121
idea4 uniformity,149,0.8558,0.8304,-0.0008,-0.0146
idea4 uniformity,199,0.847,0.8125,0.0159,-0.015
idea7 DynTanh,49,0.449,0.4323,-0.3612,-0.3833
idea7 DynTanh,99,0.6111,0.5581,-0.2406,-0.2757
idea7 DynTanh,149,0.6931,0.6706,-0.1635,-0.1744
idea7 DynTanh,199,0.7545,0.7419,-0.0767,-0.0856
