name,lp_best,lp_best_ep,knn_best,rankme_last,d_lp_vs_base,d_knn_vs_base
convstem,0.9038946628570556,89,0.8967638611793518,216.2237243652344,0.0401,0.0515
qknorm,0.8733227252960205,84,0.8500930070877075,220.54904174804688,0.0095,0.0048
sam,0.8703033924102783,90,0.8442113995552063,220.1543884277344,0.0065,-0.0011
pcgrad,0.8693621158599854,77,0.853273868560791,219.5915985107422,0.0055,0.008
swa,0.8684488534927368,94,0.8470683097839355,220.2322998046875,0.0046,0.0018
sdschedule,0.8679503202438354,90,0.8442603349685669,224.72157287597656,0.0041,-0.001
schedulefree,0.86434006690979,96,0.846866250038147,217.27371215820312,0.0005,0.0016
baseline_100,0.863815188407898,80,0.8452964425086975,220.82623291015625,0.0,0.0
deepsup,0.8628157377243042,90,0.8355838656425476,240.53895568847656,-0.001,-0.0097
llrd,0.8362631797790527,98,0.7945668697357178,214.0670166015625,-0.0276,-0.0507
muon,0.8142321109771729,75,0.8049952983856201,220.57974243164065,-0.0496,-0.0403
