epoch,eval/knn_probe_top1,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_epoch,fit/inv_step,fit/loss_epoch,fit/loss_step,fit/sigreg_epoch,fit/sigreg_step,hparams/lr_default_0,hparams/lr_linear_probe,lr-AdamW-1,lr-AdamW/pg1,lr-AdamW/pg10,lr-AdamW/pg11,lr-AdamW/pg12,lr-AdamW/pg13,lr-AdamW/pg14,lr-AdamW/pg15,lr-AdamW/pg16,lr-AdamW/pg17,lr-AdamW/pg18,lr-AdamW/pg19,lr-AdamW/pg2,lr-AdamW/pg20,lr-AdamW/pg21,lr-AdamW/pg22,lr-AdamW/pg23,lr-AdamW/pg24,lr-AdamW/pg25,lr-AdamW/pg26,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,lr-AdamW/pg6,lr-AdamW/pg7,lr-AdamW/pg8,lr-AdamW/pg9,queue/embedding_fill_pct,queue/label_fill_pct,rankme,rankme/condition_number,rankme/entropy,rankme/top_singular_value,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step,validate/inv_epoch,validate/inv_step,validate/loss_epoch,validate/loss_step,validate/sigreg_epoch,validate/sigreg_step
,,,,,,,,,,,,,,0.03,4.048266455059139e-07,1.2794521141915293e-06,1.7059361522553719e-06,1.7059361522553719e-06,2.274581536340496e-06,2.274581536340496e-06,3.0327753817873277e-06,3.0327753817873277e-06,4.043700509049771e-06,4.043700509049771e-06,5.3916006787330286e-06,4.048266455059139e-07,5.3916006787330286e-06,7.188800904977377e-06,7.188800904977377e-06,9.58506787330317e-06,9.58506787330317e-06,1.2780090497737552e-05,1.2780090497737552e-05,5.397688606745517e-07,5.397688606745517e-07,7.196918142327359e-07,7.196918142327359e-07,9.595890856436468e-07,9.595890856436468e-07,1.2794521141915293e-06,,,,,,,49,,,,,,,,
0,,,,,,,0.358185738325119,,3.2312326431274414,,143.625,4.1050259369512787e-07,0.029999999329447746,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,49,,2.1868348121643066,,,,,,
,,,,,,,,,,,,,,0.03,6.88623826536119e-07,2.1763913530030386e-06,2.901855137337382e-06,2.901855137337382e-06,3.869140183116514e-06,3.869140183116514e-06,5.158853577488687e-06,5.158853577488687e-06,6.878471436651582e-06,6.878471436651582e-06,9.171295248868772e-06,6.88623826536119e-07,9.171295248868772e-06,1.2228393665158389e-05,1.2228393665158389e-05,1.6304524886877833e-05,1.6304524886877833e-05,2.1739366515837093e-05,2.1739366515837093e-05,9.181651020481573e-07,9.181651020481573e-07,1.2242201360642107e-06,1.2242201360642107e-06,1.63229351475228e-06,1.63229351475228e-06,2.1763913530030386e-06,,,,,,,99,,,,,,,,
0,,,,,,,0.586219310760498,,2.074500560760498,,74.4375,6.942997856640432e-07,0.029999999329447746,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,99,,2.2402751445770264,,,,,,
,,,,,,,,,,,,,,0.03,9.724210075663233e-07,3.0733305918145437e-06,4.0977741224193905e-06,4.0977741224193905e-06,5.46369882989253e-06,5.46369882989253e-06,7.284931773190042e-06,7.284931773190042e-06,9.713242364253385e-06,9.713242364253385e-06,1.2950989819004502e-05,9.724210075663233e-07,1.2950989819004502e-05,1.7267986425339383e-05,1.7267986425339383e-05,2.3023981900452476e-05,2.3023981900452476e-05,3.06986425339366e-05,3.06986425339366e-05,1.2965613434217625e-06,1.2965613434217625e-06,1.7287484578956835e-06,1.7287484578956835e-06,2.30499794386091e-06,2.30499794386091e-06,3.0733305918145437e-06,,,,,,,149,,,,,,,,
0,,,,,,,0.6615164279937744,,1.6996023654937744,,51.90625,9.780969776329584e-07,0.029999999329447746,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,149,,2.581885814666748,,,,,,
,,,,,,,,,,,,,,0.03,1.2562181885965277e-06,3.970269830626053e-06,5.293693107501401e-06,5.293693107501401e-06,7.058257476668548e-06,7.058257476668548e-06,9.411009968891403e-06,9.411009968891403e-06,1.2548013291855195e-05,1.2548013291855195e-05,1.6730684389140243e-05,1.2562181885965277e-06,1.6730684389140243e-05,2.2307579185520394e-05,2.2307579185520394e-05,2.9743438914027146e-05,2.9743438914027146e-05,3.9657918552036127e-05,3.9657918552036127e-05,1.674957584795369e-06,1.674957584795369e-06,2.233276779727158e-06,2.233276779727158e-06,2.9777023729695415e-06,2.9777023729695415e-06,3.970269830626053e-06,,,,,,,199,,,,,,,,
0,,,,,,,0.7042036056518555,,1.4952192306518555,,39.5625,1.2618941127584549e-06,0.029999999329447746,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,199,,2.5824081897735596,,,,,,
,,,0.0022321429569274187,,0.59375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,0,,,,0.0,,0.0,,0.0
,,,0.00390625,,0.59375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1,,,,0.0,,0.0,,0.0
