import time: self [us] | cumulative | imported package
import time:       172 |        172 |   _io
import time:        36 |         36 |   marshal
import time:       411 |        411 |   posix
import time:       582 |       1200 | _frozen_importlib_external
import time:       237 |        237 |   time
import time:       182 |        418 | zipimport
import time:        52 |         52 |     _codecs
import time:       369 |        421 |   codecs
import time:       468 |        468 |   encodings.aliases
import time:       672 |       1560 | encodings
import time:       236 |        236 | encodings.utf_8
import time:       103 |        103 | _signal
import time:        37 |         37 |     _abc
import time:       170 |        206 |   abc
import time:       221 |        427 | io
import time:        40 |         40 |       _stat
import time:       126 |        166 |     stat
import time:       806 |        806 |     _collections_abc
import time:        44 |         44 |       genericpath
import time:       121 |        165 |     posixpath
import time:       550 |       1685 |   os
import time:        62 |         62 |   _sitebuiltins
import time:       200 |        200 |     __future__
import time:       328 |        328 |         warnings
import time:       286 |        614 |       importlib
import time:       229 |        843 |     importlib.machinery
import time:       263 |        263 |       importlib._abc
import time:       114 |        114 |           itertools
import time:       154 |        154 |           keyword
import time:        76 |         76 |             _operator
import time:       393 |        468 |           operator
import time:       196 |        196 |           reprlib
import time:        67 |         67 |           _collections
import time:      1304 |       2300 |         collections
import time:       270 |        270 |           types
import time:        66 |         66 |           _functools
import time:       825 |       1160 |         functools
import time:       683 |       4142 |       contextlib
import time:       235 |        235 |         _weakrefset
import time:       712 |        946 |       threading
import time:       307 |       5657 |     importlib.util
import time:      1532 |       1532 |           enum
import time:        72 |         72 |             _sre
import time:       398 |        398 |               re._constants
import time:       478 |        875 |             re._parser
import time:       151 |        151 |             re._casefix
import time:       547 |       1643 |           re._compiler
import time:       205 |        205 |           copyreg
import time:       703 |       4082 |         re
import time:       224 |       4305 |       fnmatch
import time:       102 |        102 |         _winapi
import time:        92 |         92 |         nt
import time:        91 |         91 |         nt
import time:        98 |         98 |         nt
import time:        79 |         79 |         nt
import time:        82 |         82 |         nt
import time:       513 |       1054 |       ntpath
import time:        73 |         73 |       errno
import time:       145 |        145 |         urllib
import time:      1587 |       1587 |         ipaddress
import time:      1360 |       3090 |       urllib.parse
import time:      1706 |      10226 |     pathlib
import time:      3381 |      20306 |   __editable___stable_pretraining_0_0_0_finder
import time:      3552 |       3552 |   _distutils_hack
import time:       172 |        172 |   sitecustomize
import time:     14832 |      40607 | site
import time:       211 |        211 |       collections.abc
import time:       981 |        981 |           token
